Subject_ID,Delta,Theta,Alpha,Beta,Gamma,y
X21.V1.791,0.09460928671709638,0.0034264507436431732,0.11565378203099938,0.09053592408495176,0.001991904633596328,4
X15.V1.924,5.337091068882458,1.708609691003685,0.7209718776093759,0.9525358189791299,0.014221838666826699,1
X8.V1.1,0.01053994804509689,0.009477405030247162,0.008753756596363824,0.016255985580014287,0.0002787186659971676,5
X16.V1.60,0.002525626458726645,0.0006567887912535096,0.0020205618571245815,0.0020866102524740525,0.00010348350727808522,5
X20.V1.54,0.008336703183979872,0.003990330134750947,0.0033963657218749246,0.01146867625590555,0.0008144416094410267,5
X14.V1.56,0.017846009271205377,0.0013521392144971596,0.02631296553003911,0.011649699463754597,0.00017969064361715226,5
X3.V1.191,0.004491802451799998,0.0043805968176014835,0.06381103178534253,0.01277054158253175,0.0001563241907456772,4
X11.V1.273,0.03352506102664454,0.007658290540134033,0.0012048869880826292,0.0007766489776705106,4.553354205778614e-05,2
X19.V1.874,0.05016473417199478,0.3384998366232011,0.034203150746119605,0.039318568981343546,0.0018112282574602985,1
X3.V1.491,0.0036583724111805696,0.004944883132655983,0.010114880465173852,0.01203805445497563,0.00018262432633049989,4
X3.V1.6,0.0028041395364701714,0.005691615565597188,0.009312655260818758,0.01770233652282908,0.000602387834777657,5
X21.V1.724,1.1661801769974711,0.9429763609629356,0.3252174948460942,0.2656657090583623,0.0012067295187271696,1
X7.V1.162,0.10034605005215091,0.02255388574612252,0.014654043463648351,0.010935222436160727,0.0008861970141605974,3
X1.V1.211,0.012311534362345153,0.007321088205790617,0.13781561558240307,0.024343536533673674,0.0002603975052685843,4
X1.V1.615,0.019959968309686195,0.011467595603967217,0.0042014458934845084,0.0018525897037350372,3.486769659814351e-05,2
X22.V1.242,0.033623438154986474,0.021381786342276346,0.0018313572787003111,0.0011923626913019902,5.5647987250936774e-05,3
X1.V1.863,0.0127017262239295,0.0040915560613965915,0.0012727437501286938,0.00033911275339171027,6.495115897973582e-05,2
X9.V1.302,0.0028672954782886836,0.040314429484211926,0.0034030511817581778,0.000816531614638252,4.3847644171628096e-05,3
X7.V1.541,0.013147636613028459,0.005115911053144598,0.020906171376108663,0.020871065729318662,0.00032416434538021666,4
X9.V1.915,0.10066666823527093,0.048877384519755346,0.008670622696190048,0.0025125079737524413,7.491936367668258e-05,2
